id,name,area,address,phone,lat,lng,onDuty
55,صيدلية الهدى الحصايبة,الطريق الوطني,"RN, El Hacaiba",,34.698,-0.755,False
56,صيدلية مولاي سليسن,حي النصر,"Cité Ennasr, Moulay Slissen",0770 55 66 77,34.8167,-0.7667,False
57,صيدلية الرشيد مولاي سليسن,نهج الأمير,"Rue Emir, Moulay Slissen",,34.818,-0.77,True
58,صيدلية بئر الحمام,نهج الجمهورية,"Rue de la République, Bir El Hammam",0548 77 66 55,34.75,-0.65,False
59,صيدلية وادي السبع,شارع أول نوفمبر,"Bd 1er Novembre, Oued Seba",0560 88 99 00,34.95,-0.55,False
60,صيدلية وادي السبع 24,الطريق الرئيسي,"Route Principale, Oued Seba",,34.952,-0.548,True
61,صيدلية بوجبهة البرج,حي 5 جويلية,"Cité 5 Juillet, Boujebha El Bordj",0790 11 22 33,35.3167,-0.3167,True
62,صيدلية السلام بوجبهة,نهج الاستقلال,"Rue Indépendance, Boujebha",,35.318,-0.314,False
63,صيدلية سيدي لحسن,الطريق الرئيسي,"Route Nationale, Sidi Lahssen",0668 44 55 66,35.15,-0.7,False
64,صيدلية مناوبة سيدي لحسن,وسط,"Centre, Sidi Lahssen",,35.152,-0.698,True
65,صيدلية حاسي زهانة,طريق وهران,"Route d'Oran, Hassi Zahana",0555 99 88 77,35.0333,-0.7333,False
66,صيدلية زروالة,وسط البلد,"Centre-ville, Zerouala",0699 33 22 11,35.0833,-0.5167,False
67,صيدلية سيدي دحو,الطريق الوطني,"RN, Sidi Dahou",0699 12 34 56,35.1,-0.6833,True
68,صيدلية عين تندامين,حي السلام,"Cité Essalam, Aïn Tindamine",0775 44 33 22,34.6833,-0.7167,False
69,صيدلية وادي تاوريرة,المركز البلدي,"APC, Oued Taourira",0555 44 33 22,34.8833,-0.5667,False
70,صيدلية الطابية,نهج العربي بن مهيدي,"Rue Larbi Ben M'hidi, Tabia",0544 33 22 11,34.7333,-0.65,False
71,صيدلية تامزوغة,الحي الجديد,"Nouveau Quartier, Tamzoura",0666 77 88 99,35.15,-0.5667,False
72,صيدلية الضاية,دوار الضاية,"Douar Edhaya, Dhaya",,34.6833,-0.6167,False
73,صيدلية سيدي علي بن يوب,دوار سيدي علي,Douar Sidi Ali Benyoub,0558 77 66 55,34.9333,-0.6667,True
74,صيدلية حاسي دحو,المحطة,"La Gare, Hassi Dahou",0799 66 55 44,35.0667,-0.5167,False
75,صيدلية مسالم,نهج العقيد,"Rue Colonel, Messalm",0665 44 33 22,34.85,-0.5833,False
76,صيدلية الخميس,نهج المدرسة,"Rue de l'École, El Khemis",,34.7167,-0.5333,True
77,صيدلية الورود,حي الورود,Cité El Wouroud,0795 33 22 11,34.95,-0.5667,False
78,صيدلية عين الثريد,الطريق الوطني 7,"RN7, Aïn Thrid",0543 22 11 00,35.2667,-0.6333,False
79,صيدلية سيدي يعقوب,نهج الاستقلال,"Rue de l'Indépendance, Sidi Yacoub",0549 88 77 66,35.05,-0.6833,False
80,صيدلية بلعربي,شارع الشهيد,"Rue Chahid, Belarbi",0771 55 44 33,34.9,-0.65,False
81,صيدلية العمارنة,نهج فلسطين,"Rue Palestine, El Amarna",0545 66 77 88,34.8,-0.6,False
82,صيدلية السهالة,الطريق الولائي 12,"CW12, Sahala",0662 33 44 55,35.05,-0.6167,False
83,صيدلية أولاد خالد,دوار أولاد خالد,Douar Ouled Khaled,0777 88 99 00,34.95,-0.35,False
84,صيدلية أولاد علي,دوار أولاد علي,Douar Ouled Ali,,34.9333,-0.4667,True
85,صيدلية سيدي خالد,الطريق الوطني,"RN, Sidi Khaled",0559 77 66 55,34.9833,-0.6833,False
86,صيدلية عين قادة,وسط البلدية,"Centre, Aïn Kada",,35.1333,-0.5833,False
87,صيدلية سيدي ابراهيم,نهج الشهيد,"Rue Chahid, Sidi Brahim",0667 88 99 00,35.1167,-0.6333,False
88,صيدلية بويزرو,وسط البلدية,"Centre, Bouizrou",,34.7333,-0.5333,True
89,صيدلية المقطع,الحي البلدي,"Quartier Communal, El Mactaâ",0793 44 55 66,35.0833,-0.6,False
90,صيدلية رجوم دموش,المركز,"Centre, Redjem Demouche",,34.4333,-0.8,False
91,صيدلية تغاليمت,دوار تغاليمت,Douar Teghalimet,0546 77 88 99,34.85,-0.6833,False
92,صيدلية بن عشيبة شلية,الطريق الولائي,"CW, Benachiba Chelia",,35.0167,-0.45,True
93,صيدلية الشعيبة,وسط,"Centre, Chaiba",0772 33 44 55,34.8167,-0.5333,False
94,صيدلية المكدرة,نهج أول نوفمبر,"Rue 1er Novembre, Makedra",,35.1167,-0.6667,False
95,صيدلية سيدي عمار,الطريق الوطني 13,"RN13, Sidi Amar",0561 22 33 44,34.9833,-0.5333,False
96,صيدلية ضرية,المركز البلدي,"APC, Dharia",,34.7667,-0.55,False
97,صيدلية شعيب,نهج الجمهورية,"Rue République, Chouaib",0669 55 66 77,34.7333,-0.5833,True
98,صيدلية مولاي النبي,حي الرجاء,"Cité Erraja, Moulay Ennabi",,35.0333,-0.6,False
99,صيدلية تافسور,نهج الأمير,"Rue Emir, Tafessour",0680 55 44 33,34.8,-0.6333,False
100,صيدلية سيدي دحو الزاير,حي النصر,"Cité Ennasr, Sidi Dahou Ezzair",,34.9833,-0.7167,False
101,صيدلية تلاغ الجديدة,حي 20 أوت,"Cité 20 Août, Telagh",0660 12 34 56,34.786,-0.585,False
102,صيدلية الرائد تلاغ,نهج الأمير عبد القادر,"Rue Emir AEK, Telagh",,34.782,-0.587,True
103,صيدلية سفيزف الشرقية,حي النصر,"Cité Ennasr, Sfisef",0555 77 88 99,35.232,-0.245,False
104,صيدلية الأمل سفيزف,طريق سيدي بلعباس,"Route de SBA, Sfisef",,35.231,-0.252,False
105,صيدلية رأس الماء 24,وسط المدينة,"Centre-ville, Ras El Ma",0790 11 22 33,34.501,-0.818,True
106,صيدلية بن باديس الجديدة,حي المجاهد,"Cité Moudjahid, Ben Badis",0666 44 55 66,35.267,-0.568,False
107,صيدلية مرين 24,الطريق الوطني,"RN, Merine",0550 99 88 77,34.784,-0.468,True
108,صيدلية تنيرة الجديدة,حي الشمس,"Cité Soleil, Tenira",,35.017,-0.535,False
109,صيدلية عين البرد الغربية,حي الرائد,"Cité Erraïd, Aïn El Berd",0770 55 44 33,35.365,-0.518,False
110,صيدلية تسالة 24,وسط البلدية,"Centre, Tessala",0698 77 66 55,35.247,-0.768,True
111,صيدلية المكدرة الجديدة,حي المستقبل,"Cité El Moustakbel, Makedra",,35.115,-0.668,False
112,صيدلية الحصايبة 24,نهج الاستقلال,"Rue Indépendance, El Hacaiba",0545 88 99 00,34.699,-0.752,True
113,صيدلية مولاي سليسن الجديدة,حي 8 ماي,"Cité 8 Mai, Moulay Slissen",,34.817,-0.768,False
114,صيدلية زروالة 24,الطريق الولائي,"CW, Zerouala",0560 33 44 55,35.082,-0.518,True
115,صيدلية سيدي دحو الجديدة,حي الوفاء,"Cité El Wafa, Sidi Dahou",,35.099,-0.685,False
116,صيدلية عين تندامين 24,وسط,"Centre, Aïn Tindamine",0666 11 22 33,34.682,-0.718,True
117,صيدلية وادي تاوريرة الجديدة,حي الشهيد,"Cité Chahid, Oued Taourira",,34.882,-0.568,False
118,صيدلية طابية 24,طريق سفيزف,"Route de Sfisef, Tabia",0555 66 77 88,34.732,-0.652,True
119,صيدلية تامزوغة الجديدة,حي النخيل,"Cité Nakhil, Tamzoura",,35.149,-0.568,False
120,صيدلية الضاية 24,وسط البلدية,"Centre, Dhaya",0790 44 55 66,34.682,-0.618,True
121,صيدلية بئر الحمام الجديدة,حي النور,"Cité Ennour, Bir El Hammam",,34.749,-0.652,False
122,صيدلية وادي السبع الجديدة,حي الفتح,"Cité El Feth, Oued Seba",0565 88 77 66,34.951,-0.552,False
123,صيدلية بوجبهة البرج 2,طريق سيدي بلعباس,"Route de SBA, Boujebha",,35.317,-0.318,False
124,صيدلية سيدي لحسن 24,نهج الشهداء,"Rue des Martyrs, Sidi Lahssen",0770 33 44 55,35.151,-0.702,True
125,صيدلية حاسي زهانة الجديدة,حي 1 نوفمبر,"Cité 1er Nov, Hassi Zahana",,35.032,-0.735,False
126,صيدلية سيدي علي بن يوب 24,وسط البلدية,"Centre, Sidi Ali Benyoub",0698 55 66 77,34.932,-0.668,True
127,صيدلية حاسي دحو الجديدة,حي الرجاء,"Cité Erraja, Hassi Dahou",,35.065,-0.518,False
128,صيدلية مسالم 24,الطريق الوطني,"RN, Messalm",0550 77 88 99,34.849,-0.585,True
129,صيدلية الخميس الجديدة,حي الأمل,"Cité El Amel, El Khemis",,34.715,-0.535,False
130,صيدلية الورود 24,وسط,"Centre, El Wouroud",0660 44 33 22,34.949,-0.568,True
131,صيدلية عين الثريد الجديدة,حي السلام,"Cité Essalam, Aïn Thrid",,35.265,-0.635,False
132,صيدلية سيدي يعقوب 24,طريق تلمسان,"Route de Tlemcen, Sidi Yacoub",0775 66 55 44,35.049,-0.685,True
133,صيدلية بلعربي الجديدة,حي 5 جويلية,"Cité 5 Juillet, Belarbi",,34.899,-0.652,False
134,صيدلية العمارنة 24,وسط البلدية,"Centre, El Amarna",0565 33 44 55,34.799,-0.602,True
135,صيدلية السهالة الجديدة,حي النجاح,"Cité Ennajah, Sahala",,35.049,-0.618,False
136,صيدلية أولاد خالد 24,الطريق الولائي,"CW, Ouled Khaled",0795 88 77 66,34.949,-0.352,True
137,صيدلية أولاد علي الجديدة,حي القدس,"Cité El Qods, Ouled Ali",,34.932,-0.468,False
138,صيدلية سيدي خالد 24,وسط,"Centre, Sidi Khaled",0666 77 88 99,34.982,-0.685,True
139,صيدلية عين قادة الجديدة,حي الفلاح,"Cité El Fellah, Aïn Kada",,35.132,-0.585,False
140,صيدلية سيدي ابراهيم 24,طريق سيدي بلعباس,"Route de SBA, Sidi Brahim",0555 22 33 44,35.115,-0.635,True
141,صيدلية بويزرو الجديدة,حي الأمير,"Cité El Amir, Bouizrou",,34.732,-0.535,False
142,صيدلية المقطع 24,وسط,"Centre, El Mactaâ",0690 55 66 77,35.082,-0.602,True
143,صيدلية رجوم دموش الجديدة,حي النور,"Cité Ennour, Redjem Demouche",,34.432,-0.802,False
144,صيدلية تغاليمت 24,الطريق الوطني,"RN, Teghalimet",0560 88 77 66,34.849,-0.685,True
145,صيدلية بن عشيبة شلية الجديدة,حي الشهيد,"Cité Chahid, Benachiba Chelia",,35.015,-0.452,False
146,صيدلية الشعيبة 24,وسط البلدية,"Centre, Chaiba",0770 11 22 33,34.815,-0.535,True
147,صيدلية سيدي عمار الجديدة,حي الزيتون,"Cité Zitoune, Sidi Amar",,34.982,-0.535,False
148,صيدلية ضرية 24,وسط,"Centre, Dharia",0795 44 33 22,34.765,-0.552,True
149,صيدلية شعيب الجديدة,حي الأمل,"Cité El Amel, Chouaib",,34.732,-0.585,False
150,صيدلية مولاي النبي 24,طريق وهران,"Route d'Oran, Moulay Ennabi",0666 33 22 11,35.032,-0.602,True
151,صيدلية تافسور الجديدة,حي النصر,"Cité Ennasr, Tafessour",,34.799,-0.635,False
152,صيدلية سيدي دحو الزاير 24,وسط,"Centre, Sidi Dahou Ezzair",0550 55 44 33,34.982,-0.718,True
153,صيدلية مصطفى بن ابراهيم 24,حي الفتح,"Cité El Feth, M. Ben Brahim",,35.197,-0.368,True
154,صيدلية بئر الحمام 24,طريق تلمسان,"Route de Tlemcen, Bir El Hammam",0698 44 55 66,34.748,-0.648,True
155,صيدلية بن عشيبة 24,الطريق الوطني 7,"RN7, Benachiba",,35.014,-0.448,True
156,صيدلية بن يعلش شاكيب,8 شارع خيرية نبيا، سيدي بلعباس,8 شارع خيرية نبيا، سيدي بلعباس,0553 74 47 49,35.187417,-0.641333,False
157,صيدلية قنون عبد الحق,حي 253 سكن شارع المزاني الهاشمي بن باديس,حي 253 سكن شارع المزاني الهاشمي بن باديس - سيدي بلعباس,0550 01 51 61,35.266667,-0.570833,False
158,صيدلية بن حراث فريدة,حي الميموزا 558 سكن سيدي بلعباس,حي الميموزا 558 سكن سيدي بلعباس,0558 46 53 59,35.189,-0.64125,False
159,صيدلية بلفدال فاطمة الزهراء,رقم 114 الدفعة الأولى سيدي الجيلالي,رقم 114 الدفعة الأولى سيدي الجيلالي - سيدي بلعباس,0781 81 22 79,35.214,-0.63025,False
160,صيدلية الهلال (شعبان نعمان سمير شوقي),08 شارع العقيد عميروش سيدي بلعباس,08 شارع العقيد عميروش سيدي بلعباس,0669 46 67 49,35.192333,-0.6435,False
161,صيدلية عتبان حمزة,39 شارع حواورية عبد القادر,39 شارع حواورية عبد القادر - سيدي بلعباس,048 68 18 36,35.188083,-0.644083,False
162,صيدلية عيساد محمد طارق,04 شارع خميسة,04 شارع خميسة - سيدي بلعباس,0770 74 33 07,35.193,-0.638583,False
163,صيدلية بوعاشة فريد,شارع 8 نوفمبر ماكون,شارع 8 نوفمبر ماكون - سيدي بلعباس,0770 62 40 20,35.193417,-0.641833,False
164,صيدلية معاشو محمد,25 مجموعة 257 سكن رقم C28 بلوك H سيدي ال,25 مجموعة 257 سكن رقم C28 بلوك H سيدي الجيلالي - سيدي بلعباس,0771 88 20 90,35.207167,-0.627,False
165,صيدلية هديبة نوال,حي 366 سكن,حي 366 سكن - سيدي بلعباس,048 69 32 42,35.189833,-0.6385,False
166,صيدلية حماد جيلالي,25 شارع عيسات إيدير,25 شارع عيسات إيدير - سيدي بلعباس,0559 56 87 22,35.186167,-0.638583,False
167,صيدلية بادسي عبد الإله,22 بوليفارد محمد الخامس,22 بوليفارد محمد الخامس - سيدي بلعباس,0558 51 34 54,35.19325,-0.637417,False
168,صيدلية بن خالد بهيجة,01 بوليفارد محمد خميسة,01 بوليفارد محمد خميسة - سيدي بلعباس,048 75 09 35,35.188833,-0.643,False
169,صيدلية سليمان سيدي أحمد,25 شارع موليير، سيدي بلعباس,25 شارع موليير، سيدي بلعباس,048 69 74 21,35.187083,-0.6405,False
170,صيدلية بوعبد الله م أ زوجة بلخضر,30 بوليفارد الصومام,30 بوليفارد الصومام - سيدي بلعباس,0540 52 11 27,35.187917,-0.641167,False
171,صيدلية خضرة جليلة,المنطقة S قطعة 63 محل 2، سيدي الجيلالي,المنطقة S قطعة 63 محل 2، سيدي الجيلالي - سيدي بلعباس,048 72 21 88,35.209333,-0.634,False
172,صيدلية هني محمد إبراهيم,الإدريسي حي البدر,الإدريسي حي البدر - سيدي بلعباس,048 75 00 10,35.188583,-0.644,False
173,صيدلية ماكتافارم,سيدي بلعباس,سيدي بلعباس,0554 62 76 83,35.187417,-0.636083,False
174,صيدلية بطاش نذير ب,26,26 - 27 حي 72 سكن روشيه - سيدي بلعباس,048 70 23 50,35.1915,-0.637083,False
175,صيدلية بغدادي أمينة,34 شارع عصام الإسلامي CPR,34 شارع عصام الإسلامي CPR - سيدي بلعباس,0661 11 01 87,35.189,-0.64075,False
176,صيدلية نذير سي أحمد,الوئام,"345 Logement El Wiam, Sidi Bel Abbès",,35.2121807,-0.6251005,False
177,صيدلية فريد بوعاشة,08 نوفمبر,"53 Rue 08 Novembre, Sidi Bel Abbès",0770 62 40 20,35.1994479,-0.6453592,False
178,صيدلية نزهة حسناوي,وسط المدينة,"11 Rue Tires Habib, Sidi Bel Abbès",,35.1997888,-0.6242186,False
179,صيدلية بن حراث فارم,كعب بن مالك,"Rue Kaab Ibn Malek, Sidi Bel Abbès",,35.2025,-0.6305,False
180,صيدلية بن عز الدين عبد الصمد,بن ديدة,"56 Bd Bendida Mohamed, Sidi Bel Abbès",,35.195,-0.64,False
181,صيدلية لطراش,شارع السلام,"Rue de la paix, Sidi Bel Abbès",,35.2005,-0.632,False
182,صيدلية عيساد,خميستي,"04 Bd Mohamed Khemisti, Sidi Bel Abbès",0770 74 33 07,35.1985,-0.634,False
183,صيدلية حاكم,وسط المدينة,Sidi Bel Abbès Centre,,35.193,-0.636,False
184,صيدلية نميش,عبان رمضان,"Bd Abane Ramdane, Sidi Bel Abbès",,35.201,-0.628,False
185,صيدلية حاجب إبراهيم,سيدي بلعباس,Sidi Bel Abbès,,35.205,-0.62,False
186,صيدلية حديبي,366 سكن,"Cité 366 Logts N06 Cité Chiker Bekhaled, Sidi Bel Abbès",048 69 32 42,35.21,-0.628,False
187,صيدلية رربال,العزيز غالم,"17 Rue Laaziz Ghalem, Sidi Bel Abbès",,35.197,-0.638,False
188,صيدلية عيساني,الروشي,"Rocher face Mosquée Ennour, Sidi Bel Abbès",,35.188,-0.642,False
189,صيدلية سايج,سيدي بلعباس,Sidi Bel Abbès 22007,,35.192,-0.63,False
190,صيدلية بغدادي أمينة,بني عامر,"34 Rue Assem El-islami Cité Beni Ameur, Sidi Bel Abbès",0661 11 01 87,35.2,-0.645,False
191,صيدلية طلحة,لعنزروج,"Rue Lanzroudj Bouziane, Sidi Bel Abbès",,35.196,-0.633,False
192,صيدلية بركسي مريم,خيرية نبيا,"Rue Kheir Nbya, Sidi Bel Abbès",,35.198,-0.6365,False
193,صيدلية الفاطمي,بن حدو,"Cité 140 Lgts Benhaddou face EPH, Sidi Bel Abbès",,35.185,-0.62,False
194,صيدلية بلعربي,سيدي بلعباس,Sidi Bel Abbès Centre,,35.194,-0.6345,False
195,صيدلية حجازي الحكمة,بن باديس,"Rue Habiss Mohamed Ben Badis, Sidi Bel Abbès",,35.203,-0.638,False
196,صيدلية لعرج,سيدي بلعباس,Sidi Bel Abbès Centre,,35.1915,-0.637,False
197,صيدلية المدينة,الأمارناس,"18 Rue Des Amarnas, Sidi Bel Abbès",048 65 27 86,35.199,-0.631,False
198,صيدلية باب الضاية,باب الضاية,"Cité Drider Med Beb Dhaya, Sidi Bel Abbès",048 56 61 86,35.1855,-0.648,False
199,صيدلية شهاب,سيدي بلعباس,Sidi Bel Abbès Centre,,35.1955,-0.629,False
200,صيدلية الوئام 105,الوئام,"Cité Wiam 105/120, Sidi Bel Abbès",048 72 95 32,35.213,-0.624,False
201,صيدلية بني عامر 1,بني عامر,"01 Rue Sohaib Roumi Hai Beni Ameur, Sidi Bel Abbès",,35.201,-0.646,False
202,صيدلية بني عامر 3,بني عامر,"03 Rue Souhaib Roumi Hai Beni Ameur, Sidi Bel Abbès",,35.2015,-0.6465,False
203,صيدلية فرانتز فانون,المستشفى,"12 Boulevard Frantz Fanon, Boulevard de l'Hôpital, Sidi Bel Abbès",,35.186,-0.622,False
204,صيدلية دريدر محمد,باب الضاية,"37 Rue Drider Mohamed Beb Daye, Sidi Bel Abbès",048 56 61 86,35.186,-0.647,False
205,صيدلية سيدي الجيلالي 193,سيدي الجيلالي,"193 Lot Sidi Djillali, Sidi Bel Abbès",,35.215,-0.615,False
206,صيدلية الأمارناس 5,الأمارناس,"05 Rue Des Amarnas, Sidi Bel Abbès",048 65 27 86,35.1988,-0.6315,False
207,صيدلية سليمان سيدي أحمد,موليير,"25 Rue Molière, Sidi Bel Abbès",0555 87 28 60,35.1975,-0.639,False
208,صيدلية بن يعلش شاكيب,خيرية نبيا,"8 Avenue Kheire Nebia, Sidi Bel Abbès",0553 74 47 49,35.1982,-0.6368,False
209,صيدلية قنون عبد الحق,بن باديس,Cité 253 Logts Rue El Mazani El Hachemi Benbadis,0550 01 51 61,35.208,-0.635,False
210,صيدلية بن حراث فريدة,الميموزا,"Cité Mimosa 558 Logts, Sidi Bel Abbès",0558 46 53 59,35.206,-0.618,False
211,صيدلية الهلال,عميروش,"08 Rue Colonel Amirouche, Sidi Bel Abbès",0669 46 67 49,35.1945,-0.6335,False
212,صيدلية عتبان حمزة,حواورية,"39 Rue Houaouria Abdelkader, Sidi Bel Abbès",048 68 18 36,35.1925,-0.6405,False
213,صيدلية بادسي عبد الإله,محمد الخامس,"22 Bd Mouhamed V, Sidi Bel Abbès",0558 51 34 54,35.1965,-0.6355,False
214,صيدلية بن خالد بهيجة,خميستي,"01 Bd Mohamed Khemisti, Sidi Bel Abbès",048 75 09 35,35.198,-0.6338,False
215,صيدلية حماد جيلالي,عيسات إيدير,"25 Avenue Issat Idir, Sidi Bel Abbès",0559 56 87 22,35.2005,-0.6375,False
216,صيدلية بوعبد الله,الصومام,"30 Boulevard Soummam, Sidi Bel Abbès",0540 52 11 27,35.1995,-0.641,False
217,صيدلية بطاش نذير,الروشي,"26-27 Cité 72 Logts Rocher, Sidi Bel Abbès",048 70 23 50,35.189,-0.643,False
218,صيدلية هني محمد إبراهيم,البدر,"El Idrissi Hai El Badr, Sidi Bel Abbès",048 75 00 10,35.204,-0.622,False
219,صيدلية ماكتافارم,وسط المدينة,Sidi Bel Abbès Centre,0554 62 76 83,35.1935,-0.635,False
220,صيدلية ساحة الوئام,الوئام,"Place El Wiam, Sidi Bel Abbès",,35.211,-0.626,False
221,صيدلية حي الحرية,الحرية,"Hai El Horria, Sidi Bel Abbès",,35.18,-0.65,False
222,صيدلية حي البدر 2,البدر,"Hai El Badr, Sidi Bel Abbès",,35.2055,-0.621,False
223,صيدلية قنبيطة,قنبيطة,"Ganbita, Sidi Bel Abbès",,35.175,-0.655,False
224,صيدلية المنطقة الصناعية,المنطقة الصناعية,"Zone Industrielle, RN07, Sidi Bel Abbès",,35.2,-0.6,False
